state,american indian/alaska native,asian/pacific islander,black,hispanic,two or more races,white,eligible,information not available,not eligible,postal,ap_abbr
Alabama,,,251.557411312979,256.714227596651,,277.349254483024,257.564725790428,,285.930534716429,Ala.,AL
Alaska,253.103371987141,274.274971946246,254.766202755175,273.49162392842,280.030805118709,290.611768344676,261.513992611659,,290.549181652076,Alaska,AK
Arizona,262.835385494112,315.509915822868,272.277281925828,269.162318473719,,296.380354831856,269.595342494823,308.9945681292,293.048748144139,Ariz.,AZ
Arkansas,,,248.437398521475,267.02349668088,,281.753801759527,263.254877398765,,290.538597056847,Ark.,AR
California,,310.701355350028,254.551714766556,262.252816397288,300.079469955352,293.012828783089,261.564882582549,,295.616792710814,Calif.,CA
Colorado,,301.127490046443,262.546576538176,268.103510099837,295.050375163574,297.892016552953,267.769438786403,,298.605147498433,Colo.,CO
Connecticut,,310.546725735252,257.734413532866,263.004020038515,,295.013247701825,263.649125305581,,295.080217112023,Conn.,CT
Delaware,,314.421786576342,262.519312044109,267.331943768633,,288.721760718971,265.327009808594,,283.66686253676,Del.,DE
District of Columbia,,,256.985766847194,263.442165435209,,322.692220560971,254.241758374876,,303.264204592317,D.C.,DC
DoDEA,,302.891425475581,276.92841492379,286.7116143635,295.787436718931,298.140350771094,,,,,
Florida,,302.585666220092,262.100423074545,273.135079089176,284.225276124662,290.622168785166,268.728139092497,,292.971905501415,Fla.,FL
Georgia,,319.559305095309,264.02595458919,274.673927903735,292.333141344762,293.275864974499,267.449822498986,296.408487267694,298.953882580568,Ga.,GA
Hawaii,,276.279294874472,,269.081642385396,282.520251897342,286.353271219515,267.958105663632,,285.119350513677,Hawaii,HI
Idaho,,,,264.725238647866,,289.358352542904,270.323790787974,298.589960932164,294.115424015717,Idaho,ID
Illinois,,313.399734235324,256.713031787817,271.617982894539,286.883268363872,291.381611596489,266.635290465292,,295.747479466184,Ill.,IL
Indiana,,,270.286506045611,275.699999280848,275.684129231827,291.545549271496,273.110985555459,,299.201114638973,Ind.,IN
Iowa,,308.207834893999,255.222761112561,273.48460517077,276.533485696203,289.568400218315,269.858039725774,,295.905488667784,Iowa,IA
Kansas,,303.664221339054,259.311777423134,269.066168354194,273.641827582603,293.182253487107,270.48140511618,,298.432240065819,Kan.,KS
Kentucky,,303.683767039183,252.186623335806,269.330650052526,267.429485343401,281.881843705328,265.33940228648,,293.018568031943,Ky.,KY
Louisiana,,,252.241578667937,262.559941043505,,278.956084269077,258.358710103821,250.901479571887,284.894078274352,La.,LA
Maine,,,,,,284.40583852152,269.484513047949,,294.210112759292,Maine,ME
Maryland,,314.762680720911,261.558880922406,267.153056744626,291.460731369416,295.449871612027,261.13081399869,,295.361495271839,Md.,MD
Massachusetts,,322.89146471652,270.671713439141,274.308930479749,298.575601382202,303.258972093322,278.142909364335,,304.564075694644,Mass.,MA
Michigan,,312.459130194778,250.150041593243,264.209606466657,270.325346027867,285.676253118444,261.191678406332,,292.428164757318,Mich.,MI
Minnesota,,297.437358599977,259.027808155433,268.863339413002,290.525722910822,301.914766809508,273.770129014848,,304.775712949833,Minn.,MN
Mississippi,,,257.271744464303,270.811375764921,,284.648316291861,263.921575382893,,289.403585969386,Miss.,MS
Missouri,,,255.948001925168,272.493602887257,282.870510051866,286.225805912583,267.653651495566,,291.810423209126,Mo.,MO
Montana,258.168032683257,,,272.284896390472,269.181775975447,290.456269296138,274.023697663352,,294.330226784019,Mont.,MT
Nation,268.243960832386,309.522764190689,259.603784760393,268.49295087561,285.34066073755,292.164707295109,266.885731646767,292.939010682797,296.558941606022,U.S.,US
Nebraska,,292.599552805526,259.724524795256,270.474895299942,287.127732854336,296.543160011302,272.237576726228,,300.323664306835,Neb.,NE
Nevada,,295.74558332502,252.691017800864,266.345327532637,283.488835255278,289.041846762875,263.514261743623,,292.392220450353,Nev.,NV
New Hampshire,,303.773696514339,,268.21981521372,,294.867685499609,273.2024557269,,299.871338138292,N.H.,NH
New Jersey,,325.187783987467,268.446086350128,272.720656504916,,302.522591208124,269.499662335852,,303.739179262876,N.J.,NJ
New Mexico,257.121103752278,,,264.019568525664,,286.997762462322,263.07421028325,,287.640180620514,N.M.,NM
New York,,308.674892527303,260.499926721082,265.466068208626,,291.568168356817,268.567249142121,,294.094817474911,N.Y.,NY
North Carolina,,309.46131704157,258.402979846523,271.864326973147,284.653066541238,295.085908933392,265.036788462892,299.613401348505,296.650144558727,N.C.,NC
North Dakota,261.887722047153,,251.942018319055,270.073483778242,,294.036289131423,269.165527794332,,296.42432986909,N.D.,ND
Ohio,,,254.172790950943,278.621558141516,274.2940665896,295.384579429685,266.976488264472,,303.004273236602,Ohio,OH
Oklahoma,269.450557531965,288.390781701624,256.910222174385,262.951072166892,276.289835998732,281.838653977748,264.886447826696,,288.211538318019,Okla.,OK
Oregon,,299.11131781284,,265.702960671737,287.046566007372,288.333886914992,271.431710353932,,298.657595420761,Ore.,OR
Pennsylvania,,311.164678147458,260.540552790445,261.902618723082,279.761492619195,293.733860314869,269.238984196621,,300.618251778589,Pa.,PA
Rhode Island,,,260.773843340203,256.864180907333,272.594896545738,286.687144117447,260.076182863238,,292.597939012888,R.I.,RI
South Carolina,,,253.099800719352,271.75686481186,278.003198800542,288.073345540634,262.797677810251,,290.369531270513,S.C.,SC
South Dakota,253.763957293977,,257.72942736258,268.504143538359,282.277677999297,293.374421894813,269.046590480762,,295.968720933591,S.D.,SD
Tennessee,,,258.061204213221,269.015491640701,,285.615531281073,268.008208100121,,288.070093378199,Tenn.,TN
Texas,,321.524179720561,265.814634721748,273.534678487341,284.087371533981,297.482647531007,270.909381606831,294.460908363184,297.422271811883,Texas,TX
Utah,,275.573247835808,,262.820341129179,,293.865275797279,270.128809886528,,296.236559478696,Utah,UT
Vermont,,,,,,288.016063339956,271.552908994167,,296.450077154504,Vt.,VT
Virginia,,316.174818704407,270.827070131889,279.985678413031,294.357513570947,296.717276408647,271.577904836692,,300.927518136072,Va.,VA
Washington,,307.678850721151,258.549862463951,270.530558416127,290.011967707738,295.259391842445,271.801166692132,,301.023411570083,Wash.,WA
West Virginia,,,253.543101440635,,,274.474473234183,268.305823006566,,288.505474011756,W.Va.,WV
Wisconsin,,286.297175524829,253.031619613262,267.124417238364,279.434768669779,295.768007931895,267.889831549067,285.233293159803,299.67160841102,Wis.,WI
Wyoming,267.711105853213,,,275.248667713232,,292.060653736948,276.279514512981,,296.348135010722,Wyo.,WY
